time;state;goal
3,33;0,685501;1
3,34;0,684739;1
3,35;0,683985;1
3,36;0,683238;1
3,37;0,6825;1
3,38;0,68177;1
3,39;0,681049;1
3,4;0,680335;1
3,41;0,679631;1
3,42;0,678934;1
3,43;0,678247;1
3,44;0,677567;1
3,45;0,676897;1
3,46;0,676235;1
3,47;0,675582;1
3,48;0,674938;1
3,49;0,674303;1
3,5;0,673676;1
3,51;0,673058;1
3,52;0,67245;1
3,53;0,67185;1
3,54;0,671259;1
3,55;0,670677;1
3,56;0,670104;1
3,57;0,66954;1
3,58;0,668985;1
3,59;0,66844;1
3,6;0,667903;1
3,61;0,667375;1
3,62;0,666856;1
3,63;0,666347;1
3,64;0,665846;1
3,65;0,665354;1
3,66;0,664872;1
3,67;0,664398;1
3,68;0,663933;1
3,69;0,663478;1
3,7;0,663031;1
3,71;0,662593;1
3,72;0,662164;1
3,73;0,661744;1
3,74;0,661332;1
3,75;0,660929;1
3,76;0,660536;1
3,77;0,66015;1
3,78;0,659774;1
3,79;0,659406;1
3,8;0,659047;1
3,81;0,658696;1
3,82;0,658354;1
3,83;0,65802;1
3,84;0,657695;1
3,85;0,657378;1
3,86;0,657069;1
3,87;0,656769;1
3,88;0,656477;1
3,89;0,656192;1
3,9;0,655916;1
3,91;0,655648;1
3,92;0,655388;1
3,93;0,655136;1
3,94;0,654892;1
3,95;0,654655;1
3,96;0,654427;1
3,97;0,654205;1
3,98;0,653992;1
3,99;0,653786;1
4;0,653587;1
4,01;0,653396;1
4,02;0,653211;1
4,03;0,653035;1
4,04;0,652865;1
4,05;0,652702;1
4,06;0,652547;1
4,07;0,652398;1
4,08;0,652256;1
4,09;0,652121;1
4,1;0,651992;1
4,11;0,65187;1
4,12;0,651755;1
4,13;0,651646;1
4,14;0,651544;1
4,15;0,651447;1
4,16;0,651357;1
4,17;0,651273;1
4,18;0,651195;1
4,19;0,651123;1
4,2;0,651057;1
4,21;0,650997;1
4,22;0,650942;1
4,23;0,650893;1
4,24;0,65085;1
4,25;0,650812;1
4,26;0,650779;1
4,27;0,650752;1
4,28;0,65073;1
4,29;0,650713;1
4,3;0,650701;1
4,31;0,650693;1
4,32;0,650691;1
4,33;0,650694;1
4,34;0,650701;1
4,35;0,650713;1
4,36;0,650729;1
4,37;0,65075;1
4,38;0,650775;1
4,39;0,650805;1
4,4;0,650838;1
4,41;0,650876;1
4,42;0,650918;1
4,43;0,650964;1
4,44;0,651013;1
4,45;0,651066;1
4,46;0,651123;1
4,47;0,651184;1
4,48;0,651248;1
4,49;0,651316;1
4,5;0,651387;1
4,51;0,651461;1
4,52;0,651538;1
4,53;0,651619;1
4,54;0,651703;1
4,55;0,651789;1
4,56;0,651879;1
4,57;0,651971;1
4,58;0,652066;1
4,59;0,652164;1
4,6;0,652264;1
4,61;0,652367;1
4,62;0,652472;1
4,63;0,65258;1
4,64;0,65269;1
4,65;0,652802;1
4,66;0,652916;1
4,67;0,653033;1
4,68;0,653151;1
4,69;0,653272;1
4,7;0,653394;1
4,71;0,653518;1
4,72;0,653643;1
4,73;0,653771;1
4,74;0,6539;1
4,75;0,65403;1
4,76;0,654162;1
4,77;0,654296;1
4,78;0,65443;1
4,79;0,654566;1
4,8;0,654703;1
4,81;0,654842;1
4,82;0,654981;1
4,83;0,655121;1
4,84;0,655263;1
4,85;0,655405;1
4,86;0,655548;1
4,87;0,655692;1
4,88;0,655837;1
4,89;0,655982;1
4,9;0,656128;1
4,91;0,656275;1
4,92;0,656422;1
4,93;0,656569;1
4,94;0,656717;1
4,95;0,656865;1
4,96;0,657014;1
4,97;0,657163;1
4,98;0,657312;1
